Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-153.122,-153.122,83.1232,83.1232
1,-138.094,-138.094,73.0623,73.0623
2,-147.819,-147.819,77.7518,77.7518
3,-127.274,-127.274,64.1953,64.1953
4,-135.947,-135.947,72.2557,72.2557
5,-144.449,-144.449,72.3919,72.3919
6,-136.628,-136.628,74.4699,74.4699
7,-147.305,-147.305,71.8198,71.8198
8,-151.686,-151.686,78.5862,78.5862
9,-134.502,-134.502,74.559,74.559
10,-152.367,-152.367,72.2172,72.2172
11,-153.012,-153.012,82.2334,82.2334
12,-155.559,-155.559,74.9054,74.9054
13,-138.06,-138.06,80.8588,80.8588
14,-153.598,-153.598,79.0347,79.0347
15,-136.275,-136.275,63.4736,63.4736
16,-141.922,-141.922,76.9275,76.9275
17,-148.586,-148.586,68.0385,68.0385
18,-149.937,-149.937,74.1166,74.1166
19,-149.297,-149.297,76.4616,76.4616
20,-148.291,-148.291,71.9862,71.9862
21,-146.856,-146.856,79.6882,79.6882
22,-150.109,-150.109,74.0006,74.0006
23,-147.856,-147.856,77.6335,77.6335
24,-137.926,-137.926,68.6992,68.6992
25,-144.186,-144.186,72.8431,72.8431
26,-143.854,-143.854,70.6749,70.6749
27,-162.598,-162.598,77.4242,77.4242
28,-135.431,-135.431,64.0618,64.0618
29,-159.308,-159.308,77.6038,77.6038
30,-148.806,-148.806,76.2569,76.2569
31,-145.782,-145.782,76.3208,76.3208
32,-148.781,-148.781,70.7594,70.7594
33,-131.976,-131.976,70.6724,70.6724
34,-134.401,-134.401,74.6722,74.6722
35,-143.641,-143.641,64.4235,64.4235
36,-143.733,-143.733,76.0913,76.0913
37,-143.133,-143.133,72.2927,72.2927
38,-142.234,-142.234,76.4393,76.4393
39,-139.59,-139.59,76.1279,76.1279
40,-153.106,-153.106,71.8288,71.8288
41,-149.663,-149.663,71.094,71.094
42,-161.161,-161.161,78.7095,78.7095
43,-142.02,-142.02,80.3241,80.3241
44,-150.354,-150.354,80.1497,80.1497
45,-147.78,-147.78,78.9606,78.9606
46,-141.247,-141.247,73.9376,73.9376
47,-146.414,-146.414,78.2957,78.2957
48,-140.962,-140.962,72.7398,72.7398
49,-139.467,-139.467,69.9453,69.9453
50,-143.81,-143.81,67.0415,67.0415
51,-160.617,-160.617,85.8714,85.8714
52,-164.527,-164.527,77.776,77.776
53,-144.518,-144.518,77.0063,77.0063
54,-143.952,-143.952,76.3438,76.3438
55,-155.878,-155.878,71.0276,71.0276
56,-138.614,-138.614,69.3905,69.3905
57,-158.995,-158.995,75.5062,75.5062
58,-143.187,-143.187,73.2332,73.2332
59,-140.538,-140.538,79.206,79.206
60,-127.831,-127.831,71.4971,71.4971
61,-147.519,-147.519,80.6618,80.6618
62,-154.373,-154.373,77.7331,77.7331
63,-147.5,-147.5,78.5352,78.5352
64,-145.57,-145.57,75.1781,75.1781
65,-157.834,-157.834,79.2704,79.2704
66,-145.633,-145.633,78.8316,78.8316
67,-134.958,-134.958,64.1222,64.1222
68,-157.292,-157.292,75.7975,75.7975
69,-154.496,-154.496,81.2986,81.2986
70,-145.849,-145.849,76.9863,76.9863
71,-139.18,-139.18,80.3262,80.3262
72,-132.948,-132.948,72.1172,72.1172
73,-143.788,-143.788,71.5967,71.5967
74,-148.93,-148.93,75.699,75.699
75,-134.657,-134.657,68.4048,68.4048
76,-146.183,-146.183,73.9351,73.9351
77,-150.785,-150.785,79.0187,79.0187
78,-158.454,-158.454,82.5284,82.5284
79,-140.259,-140.259,80.2117,80.2117
80,-145.123,-145.123,81.5043,81.5043
81,-157.017,-157.017,74.0742,74.0742
82,-144.736,-144.736,78.6712,78.6712
83,-145.92,-145.92,75.7907,75.7907
84,-151.092,-151.092,76.4085,76.4085
85,-148.316,-148.316,71.3493,71.3493
86,-145.683,-145.683,73.2772,73.2772
87,-139.892,-139.892,68.2809,68.2809
88,-148.934,-148.934,80.078,80.078
89,-157.097,-157.097,76.5922,76.5922
90,-149.134,-149.134,77.9744,77.9744
91,-159.741,-159.741,68.6297,68.6297
92,-163.914,-163.914,76.0092,76.0092
93,-138.644,-138.644,72.1511,72.1511
94,-156.945,-156.945,78.5162,78.5162
95,-138.357,-138.357,73.7481,73.7481
96,-153.758,-153.758,80.8023,80.8023
97,-150.807,-150.807,77.6558,77.6558
98,-133.555,-133.555,75.8655,75.8655
99,-149.966,-149.966,75.1958,75.1958
