Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,24.78,24.78,11.325,11.325
1,19.28,19.28,8.05349,8.05349
2,20.54,20.54,11.3717,11.3717
3,20.3,20.3,11.898,11.898
4,20.1,20.1,9.60495,9.60495
5,22.9,22.9,9.69589,9.69589
6,22,22,11.4731,11.4731
7,22.28,22.28,10.3274,10.3274
8,19.98,19.98,9.30764,9.30764
9,18.3,18.3,7.58153,7.58153
10,23.4,23.4,11.0694,11.0694
11,20.6,20.6,10.7457,10.7457
12,22.3,22.3,13.3176,13.3176
13,18.66,18.66,9.32762,9.32762
14,23.32,23.32,10.9609,10.9609
15,21.64,21.64,12.0573,12.0573
16,22,22,11.4891,11.4891
17,25.62,25.62,13.3766,13.3766
18,20.94,20.94,9.28991,9.28991
19,22.54,22.54,9.72942,9.72942
20,20.64,20.64,10.6957,10.6957
21,23.36,23.36,12.0336,12.0336
22,25.06,25.06,15.0366,15.0366
23,24.24,24.24,15.0191,15.0191
24,20.6,20.6,9.52119,9.52119
25,23.3,23.3,12.9508,12.9508
26,21.72,21.72,12.4786,12.4786
27,20.24,20.24,11.0038,11.0038
28,22.08,22.08,11.7157,11.7157
29,25.08,25.08,15.5417,15.5417
30,24.12,24.12,16.7498,16.7498
31,19.46,19.46,10.7423,10.7423
32,21.2,21.2,9.83953,9.83953
33,21.5,21.5,10.9642,10.9642
34,20.58,20.58,9.33086,9.33086
35,22.74,22.74,13.0381,13.0381
36,22.3,22.3,12.0412,12.0412
37,20.22,20.22,8.54828,8.54828
38,23.48,23.48,11.8808,11.8808
39,18.86,18.86,8.79009,8.79009
40,23.4,23.4,12.6427,12.6427
41,21.18,21.18,10.2414,10.2414
42,23.44,23.44,10.4377,10.4377
43,22.14,22.14,11.45,11.45
44,18.38,18.38,7.71399,7.71399
45,21.24,21.24,11.4545,11.4545
46,19.78,19.78,8.7977,8.7977
47,22.44,22.44,12.1909,12.1909
48,22.74,22.74,10.5149,10.5149
49,20.4,20.4,10.3253,10.3253
