Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-104.57,-104.57,93.7732,93.7732
1,-96.43,-96.43,80.3376,80.3376
2,-98.96,-98.96,79.779,79.779
3,-103.97,-103.97,78.3706,78.3706
4,-97.7,-97.7,80.2101,80.2101
5,-107.79,-107.79,82.9411,82.9411
6,-108.69,-108.69,96.5703,96.5703
7,-101.98,-101.98,75.701,75.701
8,-117.43,-117.43,89.1821,89.1821
9,-110.68,-110.68,93.438,93.438
10,-111.42,-111.42,97.6603,97.6603
11,-121.53,-121.53,106.39,106.39
12,-99.9,-99.9,79.9638,79.9638
13,-120.65,-120.65,112.729,112.729
14,-108.94,-108.94,96.151,96.151
15,-121.69,-121.69,117.017,117.017
16,-105.16,-105.16,85.4794,85.4794
17,-97.75,-97.75,78.3993,78.3993
18,-111.01,-111.01,92.4772,92.4772
19,-106.91,-106.91,83.0464,83.0464
